# wavelen(nm)  Transmission(atmos) - MC 4/2010
321.802  0.4380216
321.854  0.4363602
321.906  0.4325897
321.957  0.4256686
322.009  0.4198929
322.061  0.4180806
322.113  0.4178482
322.165  0.4190346
322.217  0.4213116
322.269  0.4237606
322.321  0.4261188
322.373  0.4282301
322.425  0.4305783
322.477  0.4316007
322.529  0.4309513
322.581  0.4274856
322.633  0.4235639
322.685  0.4219521
322.737  0.4235180
322.789  0.4255791
322.841  0.4273554
322.893  0.4301149
322.945  0.4333558
322.997  0.4362945
323.050  0.4392778
323.102  0.4413250
323.154  0.4437972
323.206  0.4465107
323.258  0.4487456
323.311  0.4502891
323.363  0.4518239
323.415  0.4536750
323.468  0.4554822
323.520  0.4570125
323.572  0.4578770
323.625  0.4589384
323.677  0.4605853
323.729  0.4617827
323.782  0.4629131
323.834  0.4635724
323.887  0.4642637
323.939  0.4643951
323.992  0.4643139
324.044  0.4635490
324.097  0.4625344
324.149  0.4611062
324.202  0.4598896
324.254  0.4594473
324.307  0.4594918
324.359  0.4599905
324.412  0.4606242
324.465  0.4608075
324.517  0.4612023
324.570  0.4614872
324.623  0.4612327
324.675  0.4597435
324.728  0.4546421
324.781  0.4479024
324.834  0.4445698
324.886  0.4431108
324.939  0.4437274
324.992  0.4457441
325.045  0.4475462
325.098  0.4494301
325.150  0.4519368
325.203  0.4544107
325.256  0.4570167
325.309  0.4584569
325.362  0.4595457
325.415  0.4596312
325.468  0.4575831
325.521  0.4565195
325.574  0.4569032
325.627  0.4580982
325.680  0.4594663
325.733  0.4622432
325.786  0.4635463
325.839  0.4656065
325.892  0.4671552
325.945  0.4690703
325.998  0.4712589
326.052  0.4725118
326.105  0.4735840
326.158  0.4750406
326.211  0.4763842
326.264  0.4774712
326.318  0.4782079
326.371  0.4789234
326.424  0.4796874
326.477  0.4804458
326.531  0.4812046
326.584  0.4818742
326.637  0.4824841
326.691  0.4832341
326.744  0.4837706
326.797  0.4843700
326.851  0.4846587
326.904  0.4848080
326.958  0.4843142
327.011  0.4832585
327.065  0.4819162
327.118  0.4801775
327.172  0.4784532
327.225  0.4777702
327.279  0.4779760
327.332  0.4784269
327.386  0.4790579
327.439  0.4800045
327.493  0.4811107
327.547  0.4817600
327.600  0.4821283
327.654  0.4821921
327.708  0.4808676
327.761  0.4775821
